siret;siren;nom;activite;enseigne;adresse;codePostal;ville;trancheEffectifs;etatEtablissement
80007383500178;800073835;AKEA ENERGIES;70.22Z;;RUE CLAUDE CHAPPE;86000;POITIERS;12;A
95217794700035;952177947;FOCSIE ATLANTIQUE;70.22Z;;6 AVENUE CLEMENT ADER;86360;CHASSENEUIL-DU-POITOU;12;A
35249745700064;352497457;ACTIFORCES;70.22Z;;AVENUE DU FUTUROSCOPE;86360;CHASSENEUIL-DU-POITOU;12;A
87906625600030;879066256;F2J DEVELOPMENT;70.22Z;;37 RUE BERNARD PALISSY;86100;CHATELLERAULT;11;A
48798228200039;487982282;APERLEAD EXECUTIVE SEARCH;70.22Z;;LA MORCIERE;86510;BRUX;11;A
83078140700044;830781407;NEOLOJI TECHNOPOLE GRAND POITIERS;70.22Z;;24 BOULEVARD DU GRAND CERF;86000;POITIERS;11;A
50756511700037;507565117;THOMAS LEGRAND CONSULTANTS;70.22Z;;6 RUE BLAISE PASCAL;86130;JAUNAY-MARIGNY;11;A
83078140700036;830781407;NEOLOJI TECHNOPOLE GRAND POITIERS;70.22Z;;2 AVENUE GALILEE;86360;CHASSENEUIL-DU-POITOU;11;A
38149448300039;381494483;AGENCE REGIONALE D'EVALUATION ENVIRONNEMENT ET CLIMAT;70.22Z;;60 RUE JEAN JAURES;86000;POITIERS;11;A
89414876600161;894148766;HELLIO INGENIERIE;70.22Z;HELLIO CONSEIL;RUE CLAUDE CHAPPE;86000;POITIERS;11;A
80814053700032;808140537;ROEBLING CAPITAL;70.22Z;;135 RUE DE LA VINCENDERIE;86000;POITIERS;11;A
42484594900462;424845949;ALTITUDE;70.22Z;;5 RUE VICTOR HUGO;86000;POITIERS;11;A
50465834500112;504658345;TGS FRANCE PATRIMOINE;70.22Z;TGS FRANCE PATRIMOINE;2 RUE CAROLINE AIGLE;86000;POITIERS;11;A
96950856300679;969508563;RAS;70.10Z;;216 AVENUE DU 8 MAI 1945;86000;POITIERS;12;A
31468572800078;314685728;CAFES MERLING GESTION;70.10Z;;1 RUE DES TRANSPORTEURS;86000;POITIERS;12;A
84419897800018;844198978;SAS POLE GESTION MULTI SERVICES;70.10Z;;8 RUE RAOUL MORTIER;86190;VOUILLE;12;A
43768102600047;437681026;SAS GRIMAULT PAILLE ET FOURRAGE;70.10Z;;4 RUE DES IRIS;86110;CRAON;12;A
34861614500069;348616145;GROUPE AUTOSPHERE;70.10Z;;12 BOULEVARD RENE DESCARTES;86360;CHASSENEUIL-DU-POITOU;12;A
53172888900142;531728889;EDOUARD DENIS DEVELOPPEMENT;70.10Z;;10 RUE GASTON HULIN;86000;POITIERS;12;A
43768102600021;437681026;SAS GRIMAULT PAILLE ET FOURRAGE;70.10Z;;4 RUE DES IRIS;86110;CRAON;12;A
84965176500026;849651765;RP FRANCE;70.10Z;;10 RUE JEAN BAPTISTE BOUSSINGAULT;86000;POITIERS;11;A
41942292800012;419422928;PGA HOLDING;70.10Z;;9 RUE GRELIN-SARZEC;86360;MONTAMISE;11;A
88051409600036;880514096;DF INVESTISSEMENTS;70.10Z;;32 AVENUE DES TEMPS MODERNES;86360;CHASSENEUIL-DU-POITOU;11;A
38420563900030;384205639;FMS;70.10Z;;RTE DE NERPUY;86530;NAINTRE;11;A
